year;country;suicide_rate;HDI;unemployment_rate;estimated_suicide_rate;GDP_per_capita
1979;Australia;11,6;;;;9281,523356
1980;Australia;10,9;;;;10194,3187
1981;Australia;11,1;;;;11833,74321
1982;Australia;11,3;;;;12766,52225
1983;Australia;10,7;;;;11518,66852
1984;Australia;10,9;;;;12431,94585
1985;Australia;11,4;;;;11437,66446
1986;Australia;12,3;;;;11364,23946
1987;Australia;12,7;;;;11624,53959
1988;Australia;12,5;;;;14254,55757
1989;Australia;11,6;;;;17798,31424
1990;Australia;12,2;0,866;;;18211,27459
1991;Australia;12,5;0,867;9,579000473;;18821,47739
1992;Australia;12,1;0,868;10,72900009;;18569,81275
1993;Australia;10,8;0,872;10,8739996;;17634,25635
1994;Australia;12;0,875;9,718999863;;18046,02024
1995;Australia;11,3;0,883;8,468999863;;20319,63063
1996;Australia;12,4;0,886;8,505999565;;21861,32551
1997;Australia;13,5;0,889;8,362000465;;23468,59683
1998;Australia;13,3;0,892;7,676000118;;21318,96417
1999;Australia;12,4;0,895;6,872000217;;20533,03506
2000;Australia;11,7;0,898;6,282999992;13,2;21679,24784
2001;Australia;11,8;0,9;6,742000103;;19490,86111
2002;Australia;11;0,903;6,368000031;;20082,48327
2003;Australia;10,1;0,904;5,928999901;;23447,031
2004;Australia;9,7;0,907;5,394999981;;30430,67644
2005;Australia;;0,902;5,032000065;12,3;33999,24286
2006;Australia;9,4;0,905;4,782000065;;36044,92281
2007;Australia;9,7;0,908;4,376999855;;40960,05449
2008;Australia;10;0,922;4,234000206;;49601,65671
2009;Australia;9,6;0,923;5,56099987;;42772,35917
2010;Australia;9,8;0,926;5,210999966;12,5;52022,1256
2011;Australia;9,7;0,928;5,080999851;;62517,83375
2012;Australia;10,3;0,932;5,223999977;;68012,1479
2013;Australia;10,2;0,926;5,662000179;;68150,10704
2014;Australia;11,2;0,929;6,077000141;;62510,79117
2015;Australia;11,6;0,933;6,053999901;13,8;56755,72171
2016;Australia;;0,935;5,710000038;13,2;49971,13146
2017;Australia;;0,937;5,59100008;;54066,47127
2018;Australia;;0,938;5,297999859;;57395,91947
2019;Australia;;;5,268000126;;54907,10191
1979;Italy;6,1;;;;6990,285794
1980;Italy;6,2;;;;8456,918982
1981;Italy;5,8;;;;7622,833328
1982;Italy;6,2;;;;7556,523429
1983;Italy;6,3;;;;7832,575389
1984;Italy;6,4;;;;7739,71528
